계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
ccm****,4,2026.03.21,1번째 방문,영수증,뮤지컬 보고 벙문한 이곳.. 대표 메뉴인 명란치즈 순두부와 차돌 들기름 국수 먹었는데 탁월한 선택이었어요~ 들기름 국수에 차돌 양도 꽤 많았고 들기름의 향과 맛이 너무 좋았어요. 순두부는 치즈와 명란이 들어가서 감칠맛과 고소함이 함께 느껴져 맛있어요.. 밥 말아먹으니 더 맛있어요. 잘 먹었습니다. 다음에 또 방문하겠습니다~~,182,True
군디스9,17,2026.04.07,1번째 방문,영수증,특이하고 맛있네요~^^,12,True
까꿍이150,609,2025.11.29,1번째 방문,영수증,"⭐️⭐️⭐️⭐️⭐️ 너무 맛있는 퓨전 한식집! 이전에 이어 두번째 방문했어요! 이전에 들기름 막국수는 별로였고, 명란치즈 순두부랑 닭갈비 덮밥이 맛있었어요! 그래서 오늘 명란치즈순두부항 닭갈비 덮밥 먹으려 했는데 품절 ㅠㅠ 대신 명란치즈순두부, 차돌떡볶이, 김치치즈볼 시켰는데, 셋다 너무 맛도리였어요👍🏻(+공기밥 1개 추가) 저는 명란치즈순두부 &gt; 차돌떡볶이 &gt; 김치치즈볼로 맛있었고, 남자친구는 순두부 &gt; 치즈볼 &gt; 떡볶이 순으로 맛있다네용ㅎㅎ 다음에 또 방문하면 명란치즈순두부랑 닭갈비덮밥시키고 싶어용!",296,True
k122998,77,2026.03.22,1번째 방문,영수증,오이지 너무 맛있어요 데이트 하기 넘 좋은 장소였어요,29,True
elf****,64,2026.03.21,1번째 방문,영수증,메뉴 다 맛있어요 특히 순두부랑 가지튀김 맛있엇어요!!!!!,33,True
딸기먹고싶어요,16,2026.03.18,1번째 방문,영수증,생각보다 양도 많구 메뉴도 새로운 게 많아서 좋았습니다! 그리고 맛있었어요!,42,True
cho****,9,2026.03.29,1번째 방문,영수증,가족과 맛있게 먹었습니다,13,True
082****,92,2026.03.21,1번째 방문,영수증,너무 맛있어서 또 왔는데 오늘도 너무 맛있네요❤️❤️,29,True
줄리엣7744,45,2026.03.21,1번째 방문,영수증,매장도 깨끗하고 음식도 맛있어요 ❤️,20,True
솜사탕92,783,2026.03.31,5번째 방문,영수증,맛에비해 가격대가 쎔,11,True
mal****,25,2026.03.19,1번째 방문,영수증,매번 올때마다 너무 맛있게 먹고 가요!! 꼭 오세요~,29,True
dus****,23,2026.03.19,1번째 방문,영수증,맛있게 잘 먹구 갑니다.. 전복매콤비빔국수에 전복이 킥인 것 같아요ㅜㅜㅜ,40,True
달팽이92,76,2025.11.19,1번째 방문,영수증,순두부찌개와 미나리새우전 다 맛있습니다 다만 자리가 빨리 차기때문에 가능하면 미리 예약하고 오는게 좋습니다 막걸리도 달달하니 맛있습니다 다만 테이블이 넓지않기 때문에 이부분은 좀 불편합니다,105,True
