계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
밍둥이,1233,2025.02.09,1번째 방문,영수증,"가는길에 웨이팅 걸어놓고 기다려 들어갔어요. 30분정도 걸린것같네요. 차돌들기름국수와 명란 치즈순두부를 먹었어요. 국수는 들기름 향과 맛이 낭낭한게 고소해서 맛있었구 순두부도 굿~~ 작은 불을 넣어주셔서 따뜻하게 먹을수 있었어요. 메뉴들 전체적으로 괜찮고, 외국인 친구들 데려가도 좋을듯 합니다.",165,True
shjforever,405,2025.01.25,2번째 방문,영수증,토요일에 4시 50분쯤 방문했는데 웨이팅 1팀 있어서 예약 걸어놓고 돌아다니다가 5시 좀 안되어서 들어간것 같아요 친구랑 왔다가 맛있어서 남자친구 데리고 다시 왔어요~ 다 먹고 나오니깐 웨이팅 18팀이더라구요,116,True
lady15,850,2025.04.13,1번째 방문,영수증,인테리어가 이뻐요,9,True
toddotk,652,2025.04.19,1번째 방문,영수증,미나리 새우전 맛있어요 ~사과 막걸리도 내 입에 딱♡,29,True
peach59,204,2025.04.19,1번째 방문,영수증,너무 맛있게 잘 먹었어요🤍,14,True
콜라하이볼,154,2025.02.22,1번째 방문,영수증,"제일 유명하다고 한 명란 치즈순두부, 차돌 들기름 국수 시켰습니다. 순두부는 무난하게 먹기 좋은 맛이었고 그다지 맵지는 않았어요. 치즈의 느낌이 강하진 않았던 것 같아요. 그런데 들기름 국수는 와! 진짜 맛있습니다. 느끼하지도 않고 고소하고 들기름 맛도 잘 나서 너무 만족스러웠습니다. 다음에 가면 들기름 국수는 또 시켜 먹을 것 같네요.",189,True
kyh****,2667,2025.09.05,1번째 방문,영수증,굿,1,True
EON07,935,2025.07.05,1번째 방문,영수증,,0,True
hee****,3915,2025.09.01,3번째 방문,영수증,,0,True
채다커,18,2025.04.23,1번째 방문,영수증,"이런 맛 처음입니다. 밑반찬으로 나오는 대표적인 오이지 심각하게 짭니다. 매운닭갈비덮밥 진짜 짭니다. 꼬막비빔밥 정말 짭니다. 미나리새우전 완전 짭니다. 명란치즈순두부 그냥 먹을만 합니다. 치즈옥수수전 그냥 먹을만 합니다. 테라가 제일 맛있었습니다. 맛있다고 소문난 집 틱톡에도 꼭 가봐야 한다길래 갔다가 소금밭에서 뒹굴다 온 기분입니다. 저도 외식업 20년 해봐서 웬만하면 이런 댓글 달고싶지 않습니다. 하지만 정말 오랜만에 지인들과 모여 식사하고 연극표까지 마련된 소중한 내 저녁시간,식사비 하루를 완전 망쳐버린 오이지입니다. 남 장사하는 스타일까지 거론하고 싶지 않습니다. 적어도 기본적 맛에 대한 근본도 무시한채 소금소태,바닷물에 절여나온 듯 한 음식들 이래도 사람 많은거 보면 신기합니다.",390,True
맘두먹자,178,2025.01.11,1번째 방문,영수증,4시40분쯤 웨이팅 걸었고 5시에 들어갔어요 근데 10분 사이에 웨이팅 25팀 생긴거 보고 기겁함 타이밍 잘 맞추지 않으면 오래 기다려야할듯 ? 자극적이고 맛있었어요,92,True
찐이s,315,2025.05.11,1번째 방문,영수증,음식이 너무너무 맛있습니다!!,16,True
유지니닷,106,2025.02.04,1번째 방문,영수증,대학로 놀러와서 점심먹으러 왔어요 음식은 쏘쏘~ 소갈비 맛있는데 양이 넘 적어요... 저녁에 술먹으러 오는게 더 좋을거 같아요~,71,True
S2eon45,248,2025.01.19,1번째 방문,영수증,맛있었어요 ! 재방문의사 있움,16,True
햅삐151,752,2025.04.24,1번째 방문,영수증,근처 맛집 찾다가 후기가 좋아서 혼밥 했어요,24,True
스노우볼413,786,2025.03.09,1번째 방문,영수증,테이블링으로 예약해서 몇분 안기다렸어요 순두부 좋아하는데 명란이랑 생각보다 잘 어울리더라고요 잘 섞어야되요 잘 못섞어먹어서 마지막에 명란 파티했네요 비빔밥은 쏘쏘해요,92,True
Wjd340,827,2025.05.21,1번째 방문,영수증,한식 퓨전 메뉴가 여러 가지 있어요 맛은 무난 합니다.,30,True
joo****,40,2025.01.19,1번째 방문,,음식이 맛있고 서비스가 좋아요,16,True
아메리카노 조아조아,672,2025.08.05,1번째 방문,영수증,,0,True
나54916,1999,2025.02.24,1번째 방문,영수증,조금 간이 쎄지만 맛있어요,14,True
dety,823,2025.01.12,1번째 방문,영수증,3시 쯤 방문했더니 주말인데도 웨이팅이 없어서 들어가서 먹을 수 있었어요!! 테이블 오더라 편하고 메뉴 빨리 나와서 좋았습니당 친절하시고 좋아요!!,82,True
shjforever,405,2025.01.07,1번째 방문,영수증,맛있어요! 음식도 빠르게 나와서 좋아요~,22,True
파랑인데요,59,2025.01.08,1번째 방문,예약,"개성있는 메뉴들이 많은것같아요! 스키야끼 덮밥과 차돌들기름국수 먹었는데 스키야끼 덮밥은 달달하고 맛있고, 차돌 들기름 국수는 엄청 꼬소해서 손이 자꾸 갑니다 ㅎㅎ 두 매뉴 다 추천합니다!",104,True
밴댕이소갈딱쟁,50,2025.01.16,1번째 방문,영수증,순두부가 거기서 거기지 했다가 맵쌀하니 맛나게 잘 먹었습니다. 미나리전도 크고 실하네요 같이 딸려오는 오이지반찬이 너무 맛있어 한공기 뚝딱,77,True
yys3908,1875,2025.02.22,1번째 방문,영수증,음식들이 모두맛있어서놀랐어요. 웨이팅은 피할수없었지만 기다려서 먹을만하네요,41,True
HooneyFL99,956,2025.01.01,1번째 방문,영수증,차돌 들기름 국수 맛있네요.,15,True
flfhwlr8765,739,2025.04.12,1번째 방문,영수증,,0,True
JW46,1163,2025.04.27,1번째 방문,영수증,.,1,True
마이멜로딍,425,2025.07.27,1번째 방문,영수증,굿굿,2,True
che****,296,2025.02.15,1번째 방문,영수증,음식이 맛있어서 그른지 웨이팅이 많아요 테이블 간격이 좁아서 조금 불편합니다 분위기도 좋고 맛도 좋아요,57,True
튼튼918,6,2025.01.22,1번째 방문,영수증,"차슈덮밥 넘 맛있었고, 나물 비빔밥도 기대 이상이었어요! 고추장이 들어가지 않고 처음 보는 나물 조합이었는데, 부드럽고 술술 넘어갔습니당👍 친구랑 와서 잘 먹고가네요~",93,True
에브리데이2938,536,2025.01.17,1번째 방문,영수증,퓨전스러운 음식들이 많어 새롭네요 웨이팅도 많고 예약후 입장 명란치즈순두부는 칼칼하니 맛있는데 나중에는 명란의 짠맛이 올라와서 짠 느낌요 흑임자 수제비는 맛있어요 쫄깃하고 부드러웠어요 치즈옥수수전도 괜츈 차돌 숙주는오꼬전은 넘 짜고 제일 손이 안간음식 ㅜㅜ 한번 가볼만한 맛집이요,156,True
sudaling,1622,2025.04.04,1번째 방문,영수증,.,1,True
ntimes,662,2025.06.02,1번째 방문,영수증,들깨차돌 맛나요,8,True
꿈94,64,2025.01.17,1번째 방문,영수증,대학로 인기집이라 가보았어요. 마침 브레이크타임 딱 끝나는 시점에 갔더니 자리가 있었고 대기없이 가능했죠. 분위기도 좋고 기대만땅이었음. 최대한 인기메뉴를 먹어보기로 해서 세가지를 주문했죠. ㅠㅠㅠ 스끼야끼덮밥은 너무 달고 들기름국수는 너무 짜고 ㅠㅠ 일단 모든 음식의 기본적인 간이 맞지 않아서 국수는 추가해서 비벼 먹었습니다. 감사합니다 .원래 이 식당은 모든 음식이 과하게 달고 짜고 하다네요. 그래서 주방에 얘기하면 국수나 밥이나 추가로 준답니다. ㅋ 그래도 기본이란게 있는데 음식맛을 해칠정도로 그러니 당황스러웠고요. 왜 줄을 서 있나 싶을 정도였어요. ㅠ 극단짠음식 먹으며 술을 마신다면 안주발 않세우고 저렴하게 한잔 마실 수 있는 집이라서인가?ㅋㅋ 일단 저녁식사 집으로는 패스입니다.,389,True
wur****,1611,2025.08.14,1번째 방문,영수증,순두부찌개 맛있어요,10,True
바람7791,1338,2025.02.17,3번째 방문,영수증,,0,True
gzt0gbf,1472,2025.04.20,1번째 방문,영수증,좋아요,3,True
al****,1424,2025.01.26,1번째 방문,영수증,,0,True
하늘전사2024,998,2025.03.13,1번째 방문,영수증,굿,1,True
맛존디,180,2025.01.18,1번째 방문,영수증,,0,True
lao75,3987,2025.03.19,1번째 방문,영수증,맛있어요,4,True
혀니2988,1512,2025.05.10,1번째 방문,영수증,맛있어요!,5,True
Ho도리,1075,2025.01.04,1번째 방문,영수증,,0,True
soj****,1501,2025.05.29,1번째 방문,영수증,굿,1,True
꽁꽁1530,1558,2025.01.19,1번째 방문,영수증,퓨전 한식. 생각보다 맛있었어요. 어르들도 좋아하고 아이도 좋아했어요. 수제사과막걸리도 맛있게 먹었네요,57,True
mocanyan,558,2025.01.12,1번째 방문,영수증,,0,True
Jenny7711,3247,2025.01.01,1번째 방문,영수증,맛있어요,4,True
SY70,426,2025.01.22,2번째 방문,영수증,음식도맛있고 대기없이 들어갈수있었네요 식사시간을 30분만조절하면대기없어요,40,True
