계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
이천댁지음,1182,2026.03.12,1번째 방문,영수증,신랑이 먹고 오더니 맛있다고 가족 총출동했습니다. 양배추양도 많고 소스도 맛있어요. 매운 카레도 돈까스와 잘 어울려요. 맛있게 잘 먹겠습니다.,79,True
지지7139,116,2026.03.12,2번째 방문,영수증,정돈!!! 말그대로 돈까스의 정석인곳!!! 여러차례 왔지만 올때마다 만족하는 곳이예요~ 오늘은 등심과 생선까스를 먹었어요~~^^,71,True
웃자5728,64,2026.03.09,1번째 방문,영수증,대학로에 왔다 오픈런 한 정돈집~~~ 돈까스에 진심인 신랑이 최고라네용~~ 너무 바삭하고 맛있어요~~,56,True
배들어가는중,58,2026.03.04,2번째 방문,영수증,대학로 올 때마다 들르는 정돈 늘 대기줄이 길어 못 간 적도 많지만 오늘은 20분정도 기다리다 입장 오랫만이지만 여전히 양도 많고 맛도 좋네요 다음에 또 올게요,89,True
doj****,13,2026.02.25,1번째 방문,영수증,정돈 역시 돈까스 1티어 맛집이네용 진짜 맛있고 새우도 엄청 실해요!! 원래 등심을 더 좋아하지만 여기는 안심이 진짜 맛있으니까 참고하세요!!ㅎㅎ 공연보러 온김에 들렀는데 다음에 또 공연보러오면 와야겠어요👍👍,116,True
동동이 어뭉,26,2026.02.19,2번째 방문,영수증,"아이병원 진료일이라 왔다가 아이가 먹고싶다고하여 일찍부터 줄서 있었는데, 운좋게 10분 내로 입장했어요~ 맛도 굿 👍👍👍 맛있는 돈까스 먹고 😋 검사결과도 좋았으면좋겠네요🙏 다음에 또 이용할게요~",109,True
REUN16,670,2026.02.13,2번째 방문,영수증,"항상 웨이팅 많은곳이라 오랜만에 평일 저녁에 방문했는데 운이 좋았는지 바로 입장했습니다. 특등심돈까스(21,000), 등심&amp;안심 돈까스(21,000), 카레 약간 매운맛(6,000) 주문했어요. 특등심은 처음 먹어보는데 일반 등심에 비해서 더 부드럽게 씹히는게 좋았고 안심은 엄청 부드러워서 먹기 편했어요. 등심은 적절하게 씹히는게 육즙이 잘 느껴졌고 셋 다 너무 맛있었습니다bb 카레랑 밥 비벼 먹었는데 자칫 느끼할 수도 있는 부분을 약간 매운맛으로 시켜서 중화되는 느낌이 조화로웠고 된장국 건더기도 많고 반찬도 매번 달라져서 전체적으로 다 존맛이예요..역시 돈까스 중 제일 같아요bb",332,True
dch****,5,2026.02.13,1번째 방문,영수증,"여기 돈까스 맛집 제대로 찾았습니다. 카레, 등심카츠, 치즈카츠까지 전부 먹어봤는데 하나도 빠짐없이 다 맛있었어요. 특히 카레는 진하고 깊은 맛이 나서 돈까스랑 정말 잘 어울리고, 밥이 계속 들어가는 맛입니다. 등심카츠는 겉은 바삭하고 속은 촉촉해서 육즙이 살아있고, 고기 잡내도 전혀 없어서 기본기가 탄탄하다는 느낌이었어요. 치즈카츠는 치즈가 아낌없이 들어 있어서 한입 베어 물면 쭉 늘어나는데, 느끼하지 않고 고소해서 끝까지 맛있게 먹었습니다. 전체적으로 튀김 상태가 정말 좋아서 기름지지 않고 깔끔했고, 메뉴 전부 만족스러웠어요. 돈까스 좋아하시는 분들이라면 꼭 한번 가볼 만한 곳입니다",331,True
초초는먹보,1787,2026.02.11,1번째 방문,영수증,안심카츠는 솔직히 인생카츠라고 해도될정도!! 입에 넣으면 녹아없어져요 등심도 진짜 부드럽고 생선까스도 달고기로 만들고 카레는 세트라서 먹었지만 추천할수있어요 그리고 전 여기 된장국이 너무 좋아요 밥이랑 국은 리필도 무료로 가능하고 양배추 잔뜩 주는것도.. 정돈이 연돈보다 맛있다!!!,158,True
cmh****,47,2026.02.01,1번째 방문,영수증,근처에 일이 있는 김에 오랜만에 방문한 정돈인데 오랜만에 먹어도 여전히 너무 맛있게 먹었습니다 스페셜 등심도 자칫 느끼할 수도 있는데 안 느끼하고 담백한게 맛있고 무엇보다 소금과 밑반찬 종류가 많은게 좋았습니다,117,True
icler,52,2026.02.01,1번째 방문,영수증,"올때마다 지나만 갔던 정돈에 드디어 와봤습니다. 일욜 12시쯤와서 30분정도 기다렸어요. 겉바속촉의 정석인 안심과 등심은 물론, 치킨과 생선카츠까지 완벽했습니다. 특히 카레는 끝까지 따뜻하게 먹을 수 있어 풍미가 깊었고, 고추절임 등 밑반찬과의 조화도 훌륭해 마지막 한 점까지 느끼함 없이 정말 맛있게 먹었습니다. 강력 추천해요! 줄이 긴 이유가 있어요!",198,True
윤9360,216,2026.02.01,1번째 방문,영수증,대학로에 정돈 본점이 있다고 해서 방문해봤어요 브레이크 끝나는 시간 맞춰서 갔는데 빠르게 입장했습니다 세트A로 주문!! 등심 너무 부드럽고 새우 통실하니 너무 맛있었어요 😇 개인적으로 돈까스 1등집입니다 강추🩷,117,True
연극죽여주는이야기,1359,2026.01.29,1번째 방문,영수증,역시 맛집~!!! 진정 돈까스를 즐기는 자는 여기로 오라~ㅋ 두명이서 3가지 시켰고 거기에 카레까지~ 부족함 없이 거침없이 먹었습니다 부드럽고 맛있는 돈까스에 부드러움 가득한 생선까스 타이거새우의 풍미작렬~ 말이 필요없는 맛집~ 강력추천 맛집~ 잘 먹고 갑니다,145,True
새콤이4,58,2026.01.21,1번째 방문,영수증,계단을 내려가야돼서 맨날 쳐다만 보다가 오늘 한번 시도해봤어요 못먹은지 넘 오래됐는데 여전히 맛있네요! 돈까스 다 부드럽고 고소하고 넘 좋았습니다 다음에 또 계단을 오를수있을때 또 찾아올게요:),108,True
sa****,32,2026.01.10,1번째 방문,영수증,"본점은 처음인데 역시는 역시입니다. 생선카츠는 통으로 한입 베어물면 파삭한 튀김옷과 담백고소한 생선살이 너무 조화롭고, 소금과 타르타르소스를 같이 먹으니 너무 맛있습니다. 등심 안심은 말이 필요없구요. 쿨타임 차면 정돈 또 오겠습니다!",131,True
